"";BBDP1.M.DE.Y.VPI.C.XE0110.I20.A;BBDP1.M.DE.Y.VPI.C.XE0110.I20.A_FLAGS
"";Verbraucherpreisindex / Deutschland / kalender- und saisonbereinigt / Insgesamt ohne Energie und 01.1 Nahrungsmittel;
Dezimalstellen;1;
Dimension;Eins;
Einheit;2020=100;
Format der Zeitangabe;P1M;
Kategorie;KPEV;
Quelle;Kalender- und Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;
Umrechnungsart;Durchschnitt;
Stand vom;10.04.2026 08:10:07 Uhr;
1995-01;73,7;
1995-02;74,0;
1995-03;74,1;
1995-04;74,0;
1995-05;74,1;
1995-06;74,2;
1995-07;74,2;
1995-08;74,5;
1995-09;74,6;
1995-10;74,7;
1995-11;74,8;
1995-12;74,9;
1996-01;74,8;
1996-02;75,1;
1996-03;75,2;
1996-04;75,4;
1996-05;75,6;
1996-06;75,6;
1996-07;75,4;
1996-08;75,5;
1996-09;75,5;
1996-10;75,9;
1996-11;75,8;
1996-12;75,8;
1997-01;76,2;
1997-02;76,4;
1997-03;76,4;
1997-04;76,4;
1997-05;76,8;
1997-06;76,9;
1997-07;77,1;
1997-08;77,3;
1997-09;77,3;
1997-10;77,3;
1997-11;77,5;
1997-12;77,5;
1998-01;77,2;
1998-02;77,4;
1998-03;77,5;
1998-04;77,5;
1998-05;78,1;
1998-06;78,1;
1998-07;78,2;
1998-08;78,2;
1998-09;78,2;
1998-10;78,3;
1998-11;78,3;
1998-12;78,4;
1999-01;77,8;
1999-02;77,9;
1999-03;78,2;
1999-04;78,3;
1999-05;78,4;
1999-06;78,4;
1999-07;78,3;
1999-08;78,3;
1999-09;78,3;
1999-10;78,4;
1999-11;78,5;
1999-12;78,4;
2000-01;78,5;
2000-02;78,5;
2000-03;78,5;
2000-04;78,6;
2000-05;78,6;
2000-06;78,6;
2000-07;78,7;
2000-08;78,7;
2000-09;78,6;
2000-10;78,9;
2000-11;78,9;
2000-12;79,2;
2001-01;79,0;
2001-02;79,3;
2001-03;79,4;
2001-04;79,5;
2001-05;79,7;
2001-06;79,8;
2001-07;79,7;
2001-08;79,8;
2001-09;79,9;
2001-10;80,2;
2001-11;80,3;
2001-12;80,4;
2002-01;80,4;
2002-02;80,8;
2002-03;80,9;
2002-04;80,8;
2002-05;80,9;
2002-06;81,1;
2002-07;81,1;
2002-08;81,1;
2002-09;81,0;
2002-10;81,1;
2002-11;81,3;
2002-12;81,1;
2003-01;81,3;
2003-02;81,3;
2003-03;81,5;
2003-04;81,3;
2003-05;81,5;
2003-06;81,8;
2003-07;81,7;
2003-08;81,8;
2003-09;81,8;
2003-10;82,1;
2003-11;81,9;
2003-12;81,9;
2004-01;82,4;
2004-02;82,5;
2004-03;82,6;
2004-04;83,0;
2004-05;83,0;
2004-06;83,2;
2004-07;83,0;
2004-08;83,2;
2004-09;83,3;
2004-10;83,3;
2004-11;83,3;
2004-12;83,3;
2005-01;83,1;
2005-02;83,0;
2005-03;83,1;
2005-04;83,2;
2005-05;83,2;
2005-06;83,3;
2005-07;83,1;
2005-08;83,2;
2005-09;83,4;
2005-10;83,4;
2005-11;83,5;
2005-12;83,4;
2006-01;83,5;
2006-02;83,6;
2006-03;83,7;
2006-04;83,7;
2006-05;83,7;
2006-06;83,8;
2006-07;83,6;
2006-08;83,6;
2006-09;83,9;
2006-10;84,1;
2006-11;84,2;
2006-12;84,2;
2007-01;84,9;
2007-02;84,9;
2007-03;85,1;
2007-04;85,3;
2007-05;85,3;
2007-06;85,4;
2007-07;85,5;
2007-08;85,4;
2007-09;85,6;
2007-10;85,7;
2007-11;85,9;
2007-12;85,9;
2008-01;86,1;
2008-02;86,1;
2008-03;86,3;
2008-04;86,4;
2008-05;86,4;
2008-06;86,6;
2008-07;86,6;
2008-08;86,6;
2008-09;86,7;
2008-10;86,9;
2008-11;87,0;
2008-12;87,0;
2009-01;87,3;
2009-02;87,4;
2009-03;87,5;
2009-04;87,6;
2009-05;87,7;
2009-06;87,8;
2009-07;87,8;
2009-08;87,8;
2009-09;87,9;
2009-10;88,0;
2009-11;87,9;
2009-12;88,1;
2010-01;88,1;
2010-02;88,1;
2010-03;88,2;
2010-04;88,2;
2010-05;88,4;
2010-06;88,3;
2010-07;88,3;
2010-08;88,4;
2010-09;88,5;
2010-10;88,6;
2010-11;88,6;
2010-12;88,6;
2011-01;88,8;
2011-02;88,9;
2011-03;89,0;
2011-04;89,0;
2011-05;89,3;
2011-06;89,1;
2011-07;89,2;
2011-08;89,3;
2011-09;89,6;
2011-10;89,6;
2011-11;89,6;
2011-12;89,6;
2012-01;89,9;
2012-02;90,0;
2012-03;90,0;
2012-04;90,1;
2012-05;90,3;
2012-06;90,3;
2012-07;90,3;
2012-08;90,3;
2012-09;90,6;
2012-10;90,7;
2012-11;90,8;
2012-12;90,9;
2013-01;90,8;
2013-02;90,9;
2013-03;91,1;
2013-04;91,2;
2013-05;91,3;
2013-06;91,5;
2013-07;91,5;
2013-08;91,5;
2013-09;91,7;
2013-10;91,7;
2013-11;92,1;
2013-12;92,0;
2014-01;92,3;
2014-02;92,4;
2014-03;92,4;
2014-04;92,5;
2014-05;92,5;
2014-06;92,6;
2014-07;92,7;
2014-08;92,8;
2014-09;93,0;
2014-10;93,0;
2014-11;93,0;
2014-12;93,3;
2015-01;93,9;
2015-02;94,0;
2015-03;94,1;
2015-04;94,1;
2015-05;94,1;
2015-06;94,2;
2015-07;94,0;
2015-08;94,3;
2015-09;94,4;
2015-10;94,4;
2015-11;94,7;
2015-12;94,7;
2016-01;95,0;
2016-02;95,0;
2016-03;95,1;
2016-04;95,2;
2016-05;95,2;
2016-06;95,3;
2016-07;95,2;
2016-08;95,3;
2016-09;95,5;
2016-10;95,6;
2016-11;95,8;
2016-12;95,9;
2017-01;95,8;
2017-02;96,1;
2017-03;96,2;
2017-04;96,3;
2017-05;96,3;
2017-06;96,4;
2017-07;96,6;
2017-08;96,7;
2017-09;96,8;
2017-10;96,6;
2017-11;97,0;
2017-12;97,1;
2018-01;97,2;
2018-02;97,3;
2018-03;97,4;
2018-04;97,5;
2018-05;97,6;
2018-06;97,7;
2018-07;97,8;
2018-08;97,9;
2018-09;98,0;
2018-10;98,2;
2018-11;98,3;
2018-12;98,3;
2019-01;98,4;
2019-02;98,6;
2019-03;98,8;
2019-04;99,0;
2019-05;99,0;
2019-06;99,1;
2019-07;99,3;
2019-08;99,4;
2019-09;99,5;
2019-10;99,7;
2019-11;99,8;
2019-12;100,0;
2020-01;99,8;
2020-02;100,0;
2020-03;100,0;
2020-04;100,2;
2020-05;100,2;
2020-06;100,3;
2020-07;99,6;
2020-08;99,9;
2020-09;99,8;
2020-10;100,0;
2020-11;100,2;
2020-12;100,2;
2021-01;101,2;
2021-02;101,4;
2021-03;101,6;
2021-04;101,6;
2021-05;101,8;
2021-06;102,2;
2021-07;102,6;
2021-08;102,8;
2021-09;102,9;
2021-10;103,1;
2021-11;103,5;
2021-12;103,9;
2022-01;103,9;
2022-02;104,2;
2022-03;104,6;
2022-04;105,0;
2022-05;105,6;
2022-06;105,6;
2022-07;106,1;
2022-08;106,5;
2022-09;107,6;
2022-10;108,1;
2022-11;108,8;
2022-12;109,3;
2023-01;109,8;
2023-02;110,2;
2023-03;110,7;
2023-04;111,1;
2023-05;111,3;
2023-06;111,7;
2023-07;111,9;
2023-08;112,4;
2023-09;112,6;
2023-10;112,8;
2023-11;112,9;
2023-12;113,2;
2024-01;113,5;
2024-02;113,9;
2024-03;114,4;
2024-04;114,4;
2024-05;114,7;
2024-06;115,0;
2024-07;115,2;
2024-08;115,5;
2024-09;115,7;
2024-10;116,0;
2024-11;116,3;
2024-12;116,9;
2025-01;116,9;
2025-02;117,1;
2025-03;117,4;
2025-04;117,6;
2025-05;117,8;
2025-06;118,0;
2025-07;118,3;
2025-08;118,6;
2025-09;118,9;
2025-10;119,3;
2025-11;119,4;
2025-12;119,7;
2026-01;119,8;
2026-02;120,0;
2026-03;120,3;
